IPs; Anzahl
3.19.65.221; 2
178.128.88.244; 4
118.24.153.230; 4
122.51.27.69; 2
129.28.183.62; 2
190.136.166.11; 1
113.161.46.149; 1
182.53.76.21; 1
49.48.111.193; 1
114.67.76.166; 4
92.118.206.140; 1
77.240.46.247; 1
159.8.10.107; 1
94.23.24.213; 2
122.51.18.119; 2
182.253.74.131; 1
185.216.140.104; 2
125.25.227.158; 1
123.24.147.232; 1
49.36.56.75; 1
61.160.96.90; 5
95.111.74.98; 2
152.136.204.232; 1
211.155.228.248; 3
51.161.34.8; 2
113.177.96.1; 1
195.231.11.101; 1
89.46.65.62; 1
51.75.66.142; 1
90.189.117.121; 2
106.124.139.161; 2
178.128.15.57; 2
51.178.27.237; 1
87.188.126.61; 2
104.236.151.120; 2
192.99.57.32; 4
163.172.61.214; 1
176.31.252.148; 4
51.68.127.137; 5
45.95.168.133; 1
117.65.248.32; 1
212.244.111.154; 2
117.65.192.167; 2
117.65.138.144; 2
14.189.155.186; 1
189.39.112.219; 4
180.76.177.237; 2
142.93.212.177; 2
187.123.56.57; 2
13.80.65.113; 3
117.65.231.116; 2
14.29.241.29; 1
113.174.195.67; 1
122.51.167.108; 2
175.6.70.180; 2
14.215.51.241; 2
210.9.47.154; 2
106.53.5.85; 2
51.254.32.102; 1
124.156.111.197; 2
49.234.88.160; 2
111.231.87.245; 3
122.51.167.200; 2
213.217.227.67; 3
86.254.19.128; 1
27.145.89.159; 1
157.230.235.122; 2
180.76.176.174; 5
106.13.96.170; 2
51.15.130.205; 3
51.77.210.216; 1
60.186.170.65; 2
192.3.177.213; 1
47.180.114.229; 2
222.239.28.178; 2
128.199.204.26; 1
49.233.77.12; 1
187.141.71.27; 2
91.207.40.45; 1
49.235.108.183; 2
206.189.127.6; 7
106.12.86.238; 3
182.1.111.206; 1
62.234.182.174; 1
198.12.92.195; 2
62.171.135.131; 2
186.151.197.189; 3
129.211.82.237; 2
49.232.33.182; 2
65.98.111.218; 4
190.0.8.134; 2
218.104.225.140; 3
111.67.206.34; 2
14.18.190.116; 2
34.80.230.110; 1
106.12.186.210; 2
86.99.121.123; 1
191.235.91.156; 2
159.203.27.146; 3
51.89.136.104; 1
106.13.119.163; 4
35.232.77.114; 1
24.72.212.241; 2
119.194.23.211; 1
187.12.181.106; 1
106.13.78.171; 3
106.12.43.66; 2
38.78.210.125; 3
139.59.46.167; 3
106.13.233.4; 3
36.155.114.151; 2
163.172.234.236; 1
66.212.192.81; 2
106.75.7.92; 1
139.99.40.130; 2
42.113.221.126; 1
182.61.39.49; 1
45.14.150.52; 1
177.23.58.23; 2
106.52.188.43; 2
182.61.104.246; 4
210.183.21.48; 1
106.37.72.121; 2
54.38.65.55; 1
167.71.228.227; 2
45.62.213.171; 2
122.51.34.215; 2
189.218.237.138; 1
14.29.171.50; 2
61.132.226.5; 1
160.16.226.151; 2
212.64.71.225; 2
222.128.20.226; 2
144.217.0.43; 4
195.231.3.56; 1
46.101.232.76; 1
51.255.30.7; 1
54.36.166.190; 4
174.138.34.155; 2
13.92.208.215; 2
212.64.29.136; 3
120.71.146.45; 2
152.136.14.79; 2
51.38.37.89; 4
77.105.74.146; 3
45.234.79.152; 1
190.60.94.189; 2
64.225.61.147; 1
85.209.0.200; 1
180.76.104.167; 2
121.201.34.103; 1
14.169.146.207; 1
156.205.84.183; 1
201.49.127.212; 2
111.40.50.116; 3
62.82.75.58; 1
49.114.143.90; 4
212.47.238.207; 3
200.146.232.97; 6
77.222.54.171; 1
195.158.21.134; 1
200.165.167.10; 2
122.51.41.109; 2
103.11.75.126; 2
49.247.131.96; 4
208.68.39.220; 2
94.191.60.213; 2
1.6.103.18; 2
223.71.73.249; 2
49.233.51.204; 2
79.120.54.174; 1
5.101.151.82; 1
180.76.53.42; 2
117.50.105.55; 2
171.97.232.82; 1
142.93.222.215; 1
58.87.80.133; 1
159.203.27.98; 4
142.93.172.67; 1
106.243.2.244; 3
104.236.136.172; 2
118.89.135.162; 1
201.192.152.202; 1
35.186.145.141; 2
107.170.249.243; 3
45.14.150.130; 1
2.95.58.142; 1
218.29.83.38; 1
208.64.33.84; 1
159.89.114.40; 2
58.186.51.172; 1
190.188.139.17; 2
156.223.245.21; 1
190.193.177.22; 2
104.168.28.195; 5
27.154.58.154; 3
185.43.209.225; 1
221.219.212.170; 2
106.54.208.37; 2
80.98.249.181; 2
51.75.73.211; 5
217.182.68.93; 1
218.78.101.32; 2
78.199.19.89; 1
106.75.99.198; 4
5.89.35.84; 1
222.174.213.178; 4
106.75.103.4; 1
122.226.134.39; 2
180.76.148.87; 2
210.56.30.167; 1
106.13.186.24; 4
182.52.97.65; 1
165.22.202.111; 1
106.53.116.230; 2
219.91.237.61; 1
37.59.224.39; 1
150.136.8.55; 3
165.22.215.192; 1
185.234.218.8; 1
36.90.47.130; 1
1.10.203.18; 1
115.97.150.74; 1
129.211.99.128; 1
59.90.208.159; 1
111.229.232.224; 2
186.146.1.122; 1
113.186.225.15; 1
101.2.167.27; 1
188.166.150.17; 1
35.199.73.100; 2
186.232.119.84; 2
134.209.176.160; 4
68.183.133.156; 7
167.114.226.137; 1
101.109.176.166; 1
106.13.47.78; 2
181.30.28.59; 1
51.83.73.115; 1
129.213.84.212; 1
51.77.144.50; 1
136.53.67.174; 2
110.93.135.205; 2
73.36.104.219; 1
61.7.147.29; 2
67.205.155.68; 2
104.54.215.215; 2
118.25.111.153; 3
106.12.8.103; 1
106.225.130.128; 2
36.90.249.108; 1
49.233.212.154; 2
113.53.123.44; 1
123.206.7.96; 1
14.170.152.1; 1
119.96.223.211; 4
140.246.215.19; 2
175.24.51.45; 6
222.255.115.237; 5
151.16.37.184; 1
106.12.181.184; 2
197.1.231.239; 1
14.234.33.237; 1
106.54.48.29; 3
122.51.31.171; 2
178.62.234.124; 1
91.231.113.113; 5
195.231.67.10; 2
122.51.93.169; 2
51.91.159.152; 1
106.12.48.217; 1
49.233.83.35; 4
113.247.250.238; 2
122.156.219.158; 3
103.84.212.5; 1
118.25.142.138; 3
183.82.105.103; 7
162.243.55.188; 1
68.183.98.146; 2
47.188.41.97; 1
106.13.184.139; 2
104.50.180.85; 2
206.174.214.90; 2
192.169.190.108; 4
51.254.114.105; 2
86.57.234.172; 2
157.245.126.49; 3
51.75.207.61; 3
37.49.226.230; 6
182.72.104.106; 1
51.77.215.18; 1
14.18.61.73; 2
114.67.78.79; 1
203.158.3.7; 2
201.234.66.133; 2
191.249.1.233; 1
110.80.142.84; 2
42.115.219.172; 1
180.190.48.181; 1
54.37.136.87; 3
51.178.29.191; 3
27.72.81.57; 1
122.117.19.66; 3
80.211.52.58; 1
106.75.10.4; 1
111.175.186.150; 1
139.217.82.229; 2
49.235.151.50; 3
201.134.248.44; 3
14.165.172.227; 1
123.207.240.133; 1
118.126.106.196; 2
170.254.195.104; 1
119.96.222.202; 3
104.198.100.105; 2
51.38.188.101; 1
112.78.188.194; 2
46.101.139.211; 1
51.141.110.138; 1
106.12.199.117; 2
69.119.114.36; 2
62.219.23.8; 1
49.234.52.176; 2
88.100.138.61; 1
117.6.131.248; 1
118.24.106.210; 2
202.175.46.170; 2
111.229.232.87; 2
113.193.243.35; 4
37.49.226.211; 3
106.54.40.151; 1
1.55.205.162; 1
221.194.137.28; 1
104.248.121.67; 3
46.0.203.166; 1
121.22.5.83; 1
220.133.95.68; 2
140.143.242.126; 2
36.26.78.36; 1
154.85.35.253; 1
134.35.215.164; 1
49.64.209.2; 1
134.209.102.196; 1
43.228.125.41; 2
185.204.3.36; 2
134.122.112.111; 1
125.94.44.112; 1
189.68.241.208; 2
134.175.130.52; 2
83.196.177.146; 1
82.189.223.116; 3
139.59.169.103; 1
122.152.204.104; 2
201.55.198.9; 2
49.73.184.62; 1
118.193.35.230; 1
223.240.109.231; 2
52.226.79.76; 2
206.189.26.171; 1
178.62.248.130; 1
209.97.160.61; 1
138.68.40.92; 3
178.128.113.47; 2
138.197.222.141; 2
27.150.22.155; 4
115.127.2.228; 4
62.234.2.59; 2
185.251.249.25; 2
211.169.249.231; 2
125.141.56.230; 2
122.152.208.61; 2
180.249.119.43; 1
113.134.211.28; 1
49.235.92.208; 2
101.89.192.64; 2
200.31.19.206; 4
134.175.121.80; 2
211.90.38.100; 1
124.156.107.57; 5
110.164.131.74; 2
106.13.181.89; 2
51.68.187.251; 1
101.51.29.194; 1
111.231.133.72; 1
121.239.0.24; 2
42.101.46.118; 4
138.197.162.28; 2
106.12.55.170; 1
42.117.169.230; 1
119.45.113.172; 1
168.227.99.10; 1
1.52.161.42; 1
1.1.242.159; 1
180.250.124.227; 2
172.245.180.180; 2
110.45.155.101; 1
37.152.177.25; 4
79.104.44.202; 4
175.36.183.218; 2
14.18.118.239; 1
104.236.250.88; 6
192.99.212.132; 1
119.29.205.52; 1
116.107.243.119; 1
122.154.38.77; 1
171.242.71.254; 1
123.21.66.77; 1
182.52.103.57; 1
47.220.235.64; 4
106.52.102.190; 4
49.49.157.229; 1
125.26.11.56; 1
159.65.37.144; 3
49.198.225.68; 1
89.176.9.98; 1
138.197.186.199; 1
36.70.71.9; 1
220.191.160.42; 2
132.232.4.140; 2
198.27.90.106; 2
180.76.178.46; 1
165.22.78.222; 1
121.66.252.158; 2
121.229.9.72; 5
95.85.9.94; 1
182.61.40.214; 2
37.229.128.52; 1
185.75.42.115; 2
45.55.72.69; 2
147.135.203.181; 1
51.38.186.180; 2
107.170.99.119; 4
162.243.164.246; 1
109.254.29.166; 1
128.199.207.45; 4
35.185.104.160; 3
36.108.168.81; 2
52.172.4.141; 2
103.36.103.48; 1
99.192.4.240; 1
116.196.107.128; 4
176.31.255.223; 2
51.158.190.54; 2
196.89.29.226; 1
168.194.13.25; 1
159.65.236.52; 1
157.245.76.169; 3
37.187.105.36; 2
2.184.4.3; 5
111.230.223.94; 2
134.209.250.9; 3
211.155.95.246; 2
182.160.110.156; 8
121.162.131.223; 5
139.59.3.114; 3
202.83.19.248; 1
207.154.229.50; 2
122.15.209.37; 2
77.159.249.91; 5
115.79.141.231; 1
122.55.190.12; 1
182.70.253.202; 4
106.12.61.64; 2
2.119.3.137; 4
198.211.126.138; 1
125.124.70.22; 2
14.29.213.136; 2
118.89.221.36; 1
68.183.238.64; 2
140.143.208.213; 1
150.136.236.53; 1
206.189.235.233; 4
124.156.103.155; 2
42.240.130.165; 1
139.59.83.179; 2
85.209.0.154; 1
51.91.8.222; 7
42.123.99.67; 2
106.240.234.114; 4
190.145.254.138; 5
113.141.166.40; 2
42.200.142.45; 2
103.236.253.86; 2
36.73.49.61; 1
37.61.176.231; 2
45.180.160.5; 2
95.10.203.34; 1
31.209.21.17; 1
186.19.224.152; 1
168.83.76.7; 2
89.166.8.43; 1
181.174.84.69; 2
122.51.24.177; 1
123.206.41.12; 2
106.12.209.57; 1
204.111.241.83; 1
171.244.139.142; 2
92.147.126.223; 4
103.61.37.231; 2
40.113.153.70; 1
43.245.217.210; 1
111.12.90.43; 2
123.28.2.227; 1
45.136.108.85; 4
86.101.56.141; 1
128.199.254.21; 4
210.75.8.34; 2
149.56.132.202; 1
161.35.61.27; 2
208.109.14.122; 2
52.130.92.196; 2
154.160.27.196; 1
152.136.189.81; 2
174.87.143.33; 1
51.83.41.120; 1
113.53.29.172; 1
139.59.84.55; 4
157.230.30.229; 3
45.169.111.238; 1
1.196.223.50; 4
37.187.1.235; 2
186.93.175.148; 1
151.236.53.199; 1
45.230.169.14; 2
27.71.81.55; 1
54.38.242.206; 7
106.13.80.186; 1
106.53.28.5; 2
77.139.162.127; 1
51.158.162.242; 3
104.131.189.185; 3
49.233.172.85; 1
222.99.84.121; 2
49.233.192.233; 2
101.255.81.91; 2
101.255.93.22; 2
181.31.101.35; 4
51.158.74.246; 1
152.32.252.251; 7
68.187.220.146; 4
82.64.32.76; 2
80.211.53.33; 1
66.96.235.110; 5
103.200.22.126; 2
134.209.186.72; 1
106.13.11.238; 2
147.50.135.171; 2
50.235.70.202; 2
167.172.153.199; 2
175.24.66.183; 2
36.111.33.142; 1
128.199.118.27; 2
51.91.110.51; 5
1.255.153.167; 2
64.227.25.170; 3
200.105.194.242; 2
167.71.40.124; 3
180.250.55.195; 2
142.93.211.44; 2
106.12.57.149; 2
106.52.134.88; 1
211.213.198.139; 2
177.11.54.150; 2
188.166.185.236; 1
128.199.177.224; 4
49.232.5.172; 2
182.61.184.155; 2
212.237.50.122; 2
138.255.148.35; 2
106.124.132.105; 1
51.83.45.65; 4
5.39.77.117; 1
211.252.87.97; 3
103.219.112.47; 1
103.89.84.150; 4
128.199.91.26; 4
113.140.6.3; 2
84.238.98.39; 2
51.104.40.176; 2
201.151.216.252; 1
91.121.2.33; 1
113.182.163.7; 1
172.245.241.76; 1
180.76.57.58; 1
122.51.45.240; 2
51.68.174.177; 1
80.211.238.70; 2
167.172.145.142; 2
85.51.12.244; 2
123.49.47.26; 2
138.68.81.162; 1
1.192.121.238; 3
159.89.207.146; 1
187.21.87.139; 1
192.241.211.215; 4
95.167.157.198; 1
116.107.163.104; 1
51.38.130.63; 1
114.98.238.21; 2
35.200.185.127; 1
148.70.153.221; 1
132.232.51.177; 2
104.200.134.250; 3
112.112.7.202; 2
112.210.132.160; 1
106.13.90.133; 1
202.29.55.172; 1
190.187.112.3; 2
165.22.103.237; 2
180.76.102.226; 4
178.128.72.80; 3
212.64.78.151; 2
167.71.67.238; 1
49.234.80.94; 2
222.105.177.33; 2
200.204.174.163; 2
134.209.57.3; 4
122.224.217.46; 6
64.225.67.233; 3
159.203.177.191; 1
217.182.70.150; 3
27.79.133.207; 1
117.5.148.171; 1
67.205.137.32; 1
206.189.132.8; 2
180.76.168.54; 2
116.228.160.20; 4
106.13.52.107; 1
118.71.124.186; 1
73.4.32.32; 1
157.7.233.185; 4
49.233.220.227; 2
111.229.30.206; 4
106.13.45.212; 2
223.70.214.101; 1
178.128.243.225; 1
104.248.176.46; 2
200.133.39.24; 2
51.77.150.203; 1
218.94.125.234; 2
218.94.125.246; 2
45.172.83.127; 1
140.143.207.57; 2
213.202.168.102; 2
115.146.126.209; 1
121.227.152.235; 1
218.2.220.66; 2
14.229.64.180; 1
218.2.220.254; 1
106.12.137.46; 2
159.65.133.150; 1
173.82.154.169; 2
218.253.255.233; 1
111.229.156.243; 3
201.226.239.98; 6
106.12.161.99; 2
45.6.72.17; 2
219.93.127.118; 1
156.211.220.129; 1
104.248.164.123; 1
5.146.184.192; 1
111.229.129.100; 3
200.133.125.244; 2
138.121.52.226; 4
50.227.195.3; 2
217.182.95.16; 3
54.37.66.7; 1
210.113.7.61; 2
157.51.230.6; 1
218.21.240.24; 2
165.227.211.13; 1
12.168.111.146; 2
109.169.20.189; 3
67.205.144.244; 1
209.97.133.196; 1
181.189.222.20; 2
106.12.114.35; 2
191.234.161.50; 4
203.128.18.143; 1
222.122.31.133; 3
90.125.218.62; 1
119.155.8.130; 1
62.234.190.206; 2
49.234.158.131; 2
5.189.141.152; 1
42.113.203.25; 1
136.232.236.6; 2
14.18.107.236; 2
210.245.34.243; 2
170.210.83.125; 1
128.199.171.81; 1
51.38.225.124; 1
160.124.140.136; 2
172.81.243.232; 2
93.64.174.22; 1
104.248.153.158; 2
61.216.2.79; 1
37.212.99.198; 1
128.199.121.32; 2
122.53.27.74; 1
198.98.59.29; 1
120.89.46.136; 2
187.162.225.139; 2
49.235.186.109; 2
125.161.118.72; 1
142.93.251.1; 3
152.0.223.34; 2
115.133.62.28; 2
128.199.136.104; 2
58.137.154.211; 1
121.122.51.65; 2
200.88.52.122; 3
139.186.70.91; 1
186.229.24.194; 4
13.92.47.253; 2
193.112.34.169; 2
102.157.235.118; 1
182.18.72.27; 1
111.229.244.205; 6
104.168.28.214; 2
210.14.77.102; 4
120.92.164.236; 2
165.227.114.134; 4
85.209.0.110; 1
144.48.51.168; 1
190.47.136.120; 2
1.203.115.141; 2
36.26.85.60; 2
159.65.8.65; 2
68.183.102.111; 2
134.209.252.17; 2
189.135.78.79; 1
106.54.117.51; 2
107.170.37.74; 2
221.7.213.133; 1
132.232.66.227; 1
142.44.218.192; 1
123.125.194.150; 3
122.144.211.235; 4
106.12.219.231; 2
140.143.197.56; 2
212.64.19.123; 1
40.73.73.244; 1
209.141.44.67; 2
14.161.12.119; 3
139.59.67.82; 2
180.76.104.221; 2
152.136.142.30; 3
122.51.214.44; 1
80.211.249.123; 1
14.229.152.202; 1
182.61.5.136; 2
123.1.174.156; 2
101.89.117.55; 4
68.183.153.161; 1
42.81.160.213; 2
45.134.147.80; 3
128.199.165.53; 2
94.191.90.117; 2
85.43.41.197; 2
106.12.171.17; 2
158.69.192.35; 2
182.61.161.121; 2
46.188.72.27; 1
120.53.18.169; 2
113.173.233.129; 1
14.239.44.117; 1
121.229.57.220; 4
49.234.5.62; 2
178.128.57.147; 4
51.79.44.52; 1
120.70.98.195; 2
202.29.210.226; 1
90.213.0.56; 1
14.245.93.253; 1
42.115.219.59; 1
183.134.217.162; 1
140.143.167.2; 2
104.236.224.69; 1
49.235.203.242; 2
180.76.181.47; 2
122.51.238.211; 1
113.160.144.127; 1
1.209.171.34; 2
157.245.184.68; 2
133.130.97.166; 1
111.231.66.135; 3
101.89.112.10; 1
195.24.207.199; 3
161.35.17.177; 1
181.238.19.36; 1
1.52.164.61; 1
103.120.6.2; 1
115.78.226.23; 1
42.118.114.191; 1
164.138.23.149; 4
14.124.102.4; 2
106.12.197.165; 2
212.95.137.15; 2
59.63.215.209; 1
84.1.30.70; 2
1.193.76.18; 2
139.198.5.79; 4
140.143.56.61; 3
134.209.236.191; 1
175.24.138.103; 2
212.64.8.10; 2
186.147.160.195; 1
115.99.14.202; 4
192.119.93.86; 1
106.13.64.192; 1
213.176.34.172; 1
91.231.165.95; 1
178.33.66.88; 3
146.196.37.136; 1
192.82.65.159; 2
118.25.182.118; 1
124.61.214.44; 2
92.222.75.41; 2
167.114.98.234; 3
61.136.184.75; 4
36.73.166.237; 1
180.168.141.246; 4
200.61.190.81; 3
92.86.132.67; 2
68.196.84.237; 2
187.134.152.219; 4
164.132.42.32; 1
41.208.72.141; 1
170.239.108.74; 2
122.51.242.122; 4
106.12.178.62; 3
85.139.214.68; 1
123.206.36.174; 1
222.185.231.246; 1
89.106.196.114; 3
139.186.68.53; 1
203.49.234.122; 2
188.234.247.110; 5
70.35.201.143; 2
104.131.249.57; 2
167.114.144.96; 1
111.229.118.227; 4
104.248.1.92; 4
14.29.192.160; 3
159.65.228.82; 3
117.35.118.42; 3
41.238.217.183; 1
152.32.169.52; 1
62.170.74.123; 1
196.203.53.20; 1
109.225.107.159; 6
54.36.98.129; 5
45.122.220.252; 2
180.76.108.151; 2
65.31.127.80; 2
178.32.163.201; 3
186.249.86.81; 1
131.72.69.202; 1
187.62.203.229; 1
171.242.9.88; 1
102.23.142.131; 1
130.180.66.97; 2
79.137.72.121; 1
160.16.57.114; 1
118.126.90.93; 2
211.159.186.92; 2
106.13.101.220; 2
121.204.145.50; 2
106.58.169.162; 4
183.234.11.43; 2
106.12.183.6; 2
116.196.82.80; 4
36.152.127.66; 2
124.156.103.22; 2
139.219.11.254; 1
106.12.29.220; 2
211.180.175.198; 2
37.187.12.126; 3
213.32.92.57; 1
49.235.244.115; 1
123.16.138.48; 2
218.241.206.66; 4
58.56.200.58; 2
212.129.27.121; 1
106.54.114.248; 2
94.191.111.115; 2
197.39.126.248; 1
104.131.178.223; 2
122.155.38.100; 1
94.191.20.125; 2
14.29.64.91; 1
106.13.226.152; 2
111.231.19.44; 2
181.174.81.245; 3
116.196.89.78; 2
119.46.1.69; 1
119.28.7.77; 2
189.135.140.130; 2
193.58.196.146; 4
165.22.218.211; 1
159.65.183.47; 2
49.235.75.19; 4
35.226.128.108; 2
211.197.207.168; 3
110.137.188.168; 1
115.79.138.163; 4
182.160.124.140; 1
62.234.137.254; 1
121.229.48.89; 2
142.44.162.188; 1
121.241.244.92; 8
101.227.251.235; 2
41.203.76.251; 1
106.51.240.84; 1
101.51.26.52; 1
31.220.1.210; 3
73.89.52.125; 2
213.32.67.160; 1
45.82.122.74; 1
106.12.22.159; 2
47.29.55.166; 1
35.200.130.142; 2
152.32.213.86; 4
1.214.215.236; 2
78.131.11.10; 1
14.241.248.57; 1
103.79.90.72; 1
83.9.152.159; 1
140.238.153.125; 1
88.204.214.123; 4
78.196.136.19; 1
165.227.42.106; 2
111.231.71.1; 2
118.24.99.230; 2
36.68.123.102; 1
125.215.207.40; 7
217.160.214.48; 3
51.161.51.150; 1
124.16.173.7; 1
64.225.70.13; 1
52.157.110.87; 4
88.149.248.9; 3
36.189.255.162; 1
203.98.76.172; 2
187.188.236.198; 2
183.82.99.71; 1
31.14.136.214; 1
153.153.170.28; 2
95.68.242.167; 1
159.65.84.164; 1
106.12.179.219; 2
14.231.236.5; 1
106.12.24.225; 4
106.13.226.170; 2
61.133.232.248; 1
40.73.102.25; 1
193.70.43.220; 1
110.185.104.186; 1
104.131.29.92; 2
218.78.81.255; 2
159.203.82.104; 4
94.199.198.137; 1
139.99.134.177; 1
58.20.129.76; 2
27.72.80.89; 1
183.83.78.180; 4
208.68.39.124; 2
79.232.175.146; 2
128.199.107.111; 2
85.209.0.71; 1
140.206.157.242; 2
181.123.9.3; 2
186.209.76.16; 2
173.161.87.170; 1
180.100.213.63; 2
150.242.213.189; 1
51.255.197.164; 1
106.54.128.79; 2
207.154.234.102; 1
129.28.29.57; 1
223.80.109.81; 2
114.67.80.209; 2
89.223.26.166; 1
198.27.122.201; 4
46.151.210.60; 3
179.53.205.119; 2
165.227.80.114; 3
46.148.201.206; 1
79.137.72.171; 1
103.219.195.79; 2
54.39.22.191; 2
195.38.126.113; 2
14.29.184.152; 2
14.233.98.13; 1
51.79.68.147; 2
177.201.186.69; 2
188.131.233.36; 1
202.104.112.217; 2
42.119.82.61; 1
187.109.253.246; 2
217.13.211.81; 2
218.56.11.181; 1
115.231.231.3; 4
167.114.153.23; 2
191.184.42.175; 2
103.129.223.22; 2
49.235.90.120; 4
122.51.209.252; 2
103.138.8.88; 1
106.12.200.70; 2
170.106.50.166; 2
41.226.11.252; 2
104.248.182.179; 4
14.29.145.11; 2
122.51.83.4; 1
144.22.108.33; 4
106.13.35.232; 4
128.199.84.251; 1
39.64.244.249; 1
106.13.86.199; 1
118.24.40.136; 2
222.73.129.15; 1
36.153.231.18; 2
187.86.200.18; 2
125.124.254.31; 2
171.229.179.237; 1
122.51.217.131; 2
49.232.135.14; 2
59.47.229.130; 3
118.89.161.136; 4
118.25.79.56; 1
106.13.149.227; 3
167.99.183.237; 2
120.201.2.128; 1
49.234.51.56; 1
40.73.101.69; 3
87.101.72.81; 2
85.172.11.101; 2
156.209.118.45; 1
113.173.122.244; 1
61.170.235.191; 2
34.66.101.36; 1
123.207.218.163; 2
139.199.248.156; 2
49.235.15.230; 2
129.204.63.100; 3
218.93.194.242; 2
106.52.57.120; 1
201.32.178.190; 1
171.244.47.130; 1
14.234.190.189; 1
45.4.5.221; 2
177.182.15.125; 2
94.172.127.14; 1
61.12.26.145; 2
41.208.68.4; 2
167.172.145.231; 2
119.28.178.213; 2
150.109.34.190; 1
83.30.89.68; 1
118.126.88.254; 2
42.104.97.228; 2
36.90.45.85; 1
35.193.252.83; 2
92.57.74.239; 1
83.30.165.21; 1
31.129.68.164; 2
128.199.197.161; 2
192.243.119.201; 2
202.131.152.2; 4
159.65.144.64; 4
103.129.220.40; 2
171.244.51.114; 2
152.136.159.231; 2
106.54.142.79; 2
129.211.22.160; 1
46.101.113.206; 2
104.236.30.107; 1
138.68.92.121; 2
117.89.13.216; 1
51.77.220.183; 2
206.81.14.48; 2
77.37.162.17; 3
120.92.2.217; 2
106.13.146.59; 2
49.235.76.84; 2
129.28.158.91; 1
122.51.73.73; 2
78.96.209.42; 3
157.230.42.76; 2
51.68.123.192; 2
83.30.171.75; 1
107.175.33.240; 2
196.189.91.166; 2
103.76.175.130; 2
106.12.215.244; 1
106.54.9.63; 2
203.127.92.151; 2
85.186.38.228; 6
104.131.167.203; 2
37.59.125.163; 2
51.77.148.77; 1
159.203.198.34; 2
Ban; 94
45.154.1.157; 3
190.103.181.165; 1
118.70.180.188; 2
222.232.29.235; 2
51.91.97.153; 2
99.88.27.140; 1
111.230.236.93; 5
203.150.243.176; 2
128.199.168.246; 2
92.50.249.166; 1
167.114.113.141; 2
80.213.239.111; 2
157.245.54.200; 4
49.165.96.21; 2
49.235.90.32; 1
118.97.213.194; 5
79.122.97.57; 4
167.71.210.34; 2
158.101.29.207; 2
88.26.226.48; 1
103.81.84.10; 1
122.173.77.201; 1
193.70.7.73; 1
171.225.255.43; 1
14.29.215.5; 2
54.39.138.246; 1
36.92.170.233; 1
121.229.15.146; 3
23.94.96.104; 1
128.199.142.0; 3
106.13.213.58; 3
178.62.75.60; 1
209.97.191.128; 1
5.39.88.60; 5
177.19.117.195; 1
176.31.31.185; 1
114.4.227.194; 1
114.108.138.136; 1
106.13.161.250; 1
222.209.85.197; 1
188.36.125.210; 2
182.61.172.151; 1
27.5.203.248; 1
204.48.25.171; 1
144.91.70.139; 1
134.209.41.198; 1
45.71.100.67; 2
122.225.230.10; 11
177.135.48.213; 1
128.199.219.218; 1
103.134.204.67; 1
35.246.218.107; 1
88.88.112.98; 1
178.243.165.56; 1
79.120.193.211; 2
193.112.4.12; 4
51.254.113.107; 4
106.13.41.87; 2
106.13.73.59; 2
106.12.56.136; 1
103.219.204.19; 2
103.248.87.105; 1
52.191.14.95; 2
123.201.124.74; 1
122.51.89.18; 4
14.142.143.138; 2
183.162.79.39; 1
175.139.1.34; 2
106.53.2.215; 2
180.76.119.34; 4
125.74.10.146; 2
210.245.92.228; 2
139.199.36.50; 1
61.95.233.61; 3
152.136.34.209; 2
159.65.137.23; 2
118.24.83.41; 2
180.76.179.67; 2
138.197.166.66; 1
93.170.36.5; 2
167.86.71.24; 1
85.192.173.32; 6
218.205.97.113; 1
51.68.190.223; 4
94.200.179.62; 2
51.75.203.178; 2
206.189.98.225; 2
69.47.161.24; 2
37.120.168.104; 2
165.22.213.129; 1
195.91.182.76; 2
165.22.202.103; 2
128.199.207.238; 2
81.246.218.220; 1
140.190.37.110; 2
58.27.238.50; 1
192.144.219.201; 3
51.255.168.254; 4
85.209.0.96; 1
152.136.220.127; 2
104.248.116.140; 3
121.229.50.40; 4
137.74.132.175; 2
122.51.32.248; 2
14.161.33.201; 2
117.103.2.114; 3
129.226.179.187; 2
192.144.164.134; 2
200.98.139.219; 2
91.204.248.28; 2
183.2.168.102; 2
122.51.227.216; 2
49.232.5.122; 2
139.215.217.180; 1
118.69.130.111; 2
104.248.143.177; 2
180.166.192.66; 6
49.72.165.79; 2
46.177.234.115; 1
142.93.212.10; 2
52.74.48.7; 1
186.234.249.196; 2
103.20.188.18; 4
161.35.109.11; 2
62.234.151.213; 2
157.230.153.75; 2
162.241.97.7; 2
14.116.193.91; 2
37.29.40.188; 1
49.234.10.48; 2
49.233.75.234; 1
134.175.52.58; 2
41.142.68.226; 1
113.176.99.197; 1
104.129.5.143; 2
51.75.246.107; 2
212.237.42.86; 2
152.136.133.70; 4
113.140.80.174; 2
101.227.82.219; 4
35.246.220.33; 1
59.36.18.195; 2
51.79.144.38; 2
182.61.172.57; 1
110.77.149.227; 1
113.175.206.124; 1
188.0.169.111; 1
49.37.206.112; 1
113.183.101.107; 1
188.80.250.26; 1
114.67.110.88; 2
92.118.206.182; 2
154.113.1.142; 4
189.4.1.12; 1
87.251.74.31; 11
185.4.64.49; 2
139.59.190.69; 2
114.98.234.214; 4
183.82.121.34; 6
106.54.184.153; 2
61.133.232.252; 1
123.207.78.83; 4
118.25.197.114; 2
222.73.134.221; 2
14.167.44.248; 1
106.54.95.28; 4
121.168.8.229; 2
